owner_no,model_year,price,registered_year,kms_driven,mileage_kmpl,engine_cc,car_age,model_age,registration_lag,normalized_model_age,price_per_km,mileage_normalized,high_mileage,multiple_owners,brand_popularity,kms_per_year,city_bangalore,city_chennai,city_delhi,city_hyderabad,city_jaipur,city_kolkata,transmission_automatic,transmission_manual,fuel_type_cng,fuel_type_diesel,fuel_type_lpg,fuel_type_petrol,brand_encoded,variant_name_encoded,model_encoded
3,2015,400000.0,2015,120000.0,23.1,998,9,9,0,0.9,3.333333333333333,0.648876404494382,0,1,503886.0239819005,12000.0,True,False,False,False,False,False,False,True,False,False,False,True,18,424566.34688346885,440245.0331125828
2,2018,811000.0,2018,32706.0,17.0,1497,6,6,0,0.8571428571428571,24.796673393261177,0.4775280898876404,0,1,538652.329749104,4672.285714285715,True,False,False,False,False,False,False,True,False,False,False,True,6,787214.2857142857,683109.0909090909
1,2018,585000.0,2018,11949.0,23.84,1199,6,6,0,0.8571428571428571,48.95807180517198,0.6696629213483146,0,0,617492.5013404826,1707.0,True,False,False,False,False,False,False,True,False,False,False,True,28,470370.3703703704,521147.36842105264
1,2014,462000.0,2014,17794.0,19.1,1197,10,10,0,0.9090909090909092,25.963808025177027,0.5365168539325843,0,0,575329.531685678,1617.6363636363635,True,False,False,False,False,False,False,True,False,False,False,True,9,433500.0,432471.69811320753
1,2015,790000.0,2015,60000.0,23.65,1248,9,9,0,0.9,13.166666666666666,0.6643258426966292,0,0,503886.0239819005,6000.0,True,False,False,False,False,False,False,True,False,True,False,False,18,797000.0,837482.7586206896
1,2017,345000.0,2017,37772.0,20.63,1198,7,7,0,0.875,9.133749867626811,0.5794943820224718,0,0,347810.8108108108,4721.5,True,False,False,False,False,False,False,True,False,False,False,True,4,345000.0,330733.3333333333
1,2021,1200000.0,2021,30000.0,18.15,998,3,3,0,0.75,40.0,0.5098314606741572,0,0,575329.531685678,7500.0,True,False,False,False,False,False,True,False,False,False,False,True,9,1091833.3333333333,989975.0
1,2018,960000.0,2018,37000.0,20.28,1462,6,6,0,0.8571428571428571,25.945945945945947,0.5696629213483146,0,0,503886.0239819005,5285.714285714285,True,False,False,False,False,False,True,False,False,False,False,True,18,840000.0,695777.7777777778
1,2017,585000.0,2018,11949.0,23.84,1199,6,7,1,0.75,48.95807180517198,0.6696629213483146,0,0,617492.5013404826,1707.0,True,False,False,False,False,False,False,True,False,False,False,True,28,557500.0,521147.36842105264
1,2018,690000.0,2018,50000.0,21.4,1197,6,6,0,0.8571428571428571,13.8,0.6011235955056179,0,0,503886.0239819005,7142.857142857143,True,False,False,False,False,False,False,True,False,False,False,True,18,545750.0,643665.5172413794
1,2019,682000.0,2019,24887.0,18.9,1197,5,5,0,0.8333333333333334,27.403865471933138,0.5308988764044943,0,0,575329.531685678,4147.833333333333,True,False,False,False,False,False,True,False,False,False,False,True,9,610133.3333333334,472567.5675675676
1,2018,825000.0,2018,23000.0,18.2,1199,6,6,0,0.8571428571428571,35.869565217391305,0.5112359550561797,0,0,621019.765258216,3285.714285714286,True,False,False,False,False,False,True,False,False,False,False,True,8,901105.2631578947,581642.8571428572
1,2018,595000.0,2018,48928.0,23.84,1199,6,6,0,0.8571428571428571,12.1607259646828,0.6696629213483146,0,0,617492.5013404826,6989.714285714285,True,False,False,False,False,False,True,False,False,False,False,True,28,564000.0,521147.36842105264
3,2014,690000.0,2014,108862.0,15.1,2179,10,10,0,0.9090909090909092,6.338299865885249,0.4241573033707865,0,1,889729.1666666666,9896.545454545454,True,False,False,False,False,False,False,True,False,True,False,False,15,784500.0,985120.0
1,2018,1350000.0,2018,80000.0,17.1,1956,6,6,0,0.8571428571428571,16.875,0.4803370786516854,0,0,1350420.2898550725,11428.57142857143,True,False,False,False,False,False,False,True,False,True,False,False,12,1262923.076923077,1350420.2898550725
2,2014,521000.0,2014,65376.0,21.27,1396,10,10,0,0.9090909090909092,7.969285364659814,0.5974719101123596,0,1,575329.531685678,5943.272727272727,True,False,False,False,False,False,False,True,False,True,False,False,9,505538.46153846156,564454.268292683
1,2022,1005000.0,2022,10000.0,17.33,1199,2,2,0,0.6666666666666666,100.5,0.4867977528089887,0,0,617492.5013404826,3333.333333333333,True,False,False,False,False,False,False,True,False,False,False,True,28,915000.0,885534.0909090909
2,2016,775000.0,2016,67000.0,17.8,1497,8,8,0,0.8888888888888888,11.567164179104475,0.5,0,1,621019.765258216,7444.444444444444,True,False,False,False,False,False,False,True,False,False,False,True,8,606224.4897959183,696057.5342465753
